"ISO.Code","IMFcode","Country.Name","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49"
"USA",111,"United States",0.032403053107112,0.0512526981704884,0.0549211190955692,-0.00542010295785822,-0.00205683032648452,0.0524799077195475,0.0452043835548892,0.0538753325178192,0.0311705084769969,-0.00257083083232423,0.0250605928720447,-0.0181932342206572,0.0448197121310745,0.0698676173614885,0.0408507025069529,0.0340404515625305,0.0340106425452102,0.0409218502330653,0.0360681181892026,0.0186838938635034,-0.0010831083289311,0.0346182702301405,0.0271563368244365,0.0394978886168396,0.0264889484474935,0.0370308674049191,0.0435116190391014,0.0438390135529474,0.0464372529310957,0.0404457521156125,0.00993390696098118,0.0172669812286905,0.0282104346169909,0.0372850898804593,0.0345291250704456,0.0281497523137801,0.0185879043514987,-0.00136664667834552,-0.0256950243695968,0.0253146519618603,0.0153893359493367,0.0222461451109801,0.0182531378585118,0.0249460356334943,0.030291716914796,0.0169694581964386,0.0230588109554617,0.029524553020071,0.0213814378153181
"GBR",112,"United Kingdom",0.0344477908174401,0.0423080351684426,0.0631994431673988,-0.0251585173517519,-0.0148457075948603,0.02868717602224,0.0242799350657243,0.0411831472924007,0.0368041929752589,-0.0205224200143661,-0.00790836586058141,0.0197520251053511,0.0413524274256982,0.0224364053475501,0.0406376739348548,0.0310178030264776,0.0525227748708801,0.0557413531952431,0.025449310629611,0.00731109292086174,-0.0110922834161844,0.0040022835932465,0.02459348099819,0.0377393501423118,0.0250014415142648,0.0246108077537581,0.0485548127531317,0.0364068881364581,0.0324206103459765,0.0344615980080132,0.0269372202235925,0.021553502734637,0.0326790665879475,0.0226052989406309,0.0291284993734138,0.0265816393304839,0.0233314407937204,-0.0027916904313301,-0.0420097333301399,0.0205284365842058,0.0126763174203219,0.0142026336057892,0.0216256161507111,0.0282251902440009,0.0233558301126173,0.0170772648471278,0.0172533658746303,0.0124480468558872,0.012530380801671
"AUT",122,"Austria",0.0498670688732954,0.0602279469957754,0.0477161613786059,0.038679870728453,-0.00362971960996283,0.0447536172593548,0.0495514660785936,-0.00210876607411947,0.0521816016314602,0.0171666629657832,-0.00144398672244783,0.0199129028028899,0.0292974491425095,0.000512755476281157,0.0246796582538131,0.0227531112273223,0.0134803782825852,0.0324273744464225,0.0381342242908307,0.0425386499513323,0.0338373023917988,0.0207191433744676,0.00525435327310397,0.023737153973606,0.0263301535969696,0.0232235594999466,0.0207198801175554,0.0351877724854841,0.0349455460642627,0.033199929979796,0.0125921827932078,0.0163805845328238,0.00937061212216328,0.0269838564014275,0.0221925812179613,0.0339572942414694,0.036596214161797,0.0144986788249906,-0.0383726915229463,0.0182042394039907,0.0288089243573939,0.00678147272508589,0.000254954447104438,0.00659099386292006,0.0100938848048031,0.019699114523851,0.0237124292405593,0.0254739941060915,0.014087619509457
"BEL",124,"Belgium",0.0368431301355319,0.0512218696791358,0.0594222864832084,0.0411383811942709,-0.013358764440019,0.0549875357134688,0.00624181046595496,0.0280228669723499,0.0231406835613157,0.0438207312750905,-0.00279673696278593,0.00593228842335769,0.00311347999391032,0.0243647188426763,0.0163828311244192,0.0180636572574091,0.022804446944491,0.046150592471113,0.034103529465412,0.0308919502725473,0.0181646711461436,0.0151906454473476,-0.00966525402868612,0.0317600406138911,0.0235676291670135,0.0131280722279143,0.0372346509779931,0.0194284793230199,0.0348142763944921,0.0364926964911501,0.0109360711377882,0.0169249201983774,0.0103260444872255,0.0350889702677719,0.0229519832059211,0.025203200343098,0.0361093552002139,0.00445925360548038,-0.0204142676985182,0.0282403631240644,0.0168029663107223,0.00736517540482851,0.00458175337048594,0.0155768846795237,0.0202090887524005,0.0125872332689489,0.0159529807027479,0.0179606616331363,0.017287968864057
"DNK",128,"Denmark",0.029607619307626,0.0385410894345757,0.0401137973089511,-0.0112875854986125,-0.0146725680653539,0.0575572100734743,0.0185301454199038,0.0220188726458748,0.0379607600648146,-0.0048415859295563,-0.00668364217351503,0.0361839378845428,0.0256293440333746,0.0408169845976207,0.0392562788487307,0.0478777376764121,0.00253912169383774,-0.000136241819474137,0.00643133403726637,0.0146446871945383,0.0138403193485086,0.0193811284687868,0.000106643362078884,0.0519512629287817,0.0298270772594602,0.0285880519617034,0.0320885074440049,0.0219390785184732,0.0290539261586122,0.0367841881618656,0.00819778602281218,0.00465256978092654,0.00389312242728579,0.0263322595829365,0.0230977797126055,0.0383836407964857,0.00905141132188092,-0.00513339479222452,-0.050309803698843,0.0185370293166063,0.0132790887835785,0.00226213688597987,0.00929025002051453,0.01606408338675,0.0231559577494895,0.0319437639745335,0.0278267018036864,0.0215231173984254,0.0280966517631089
"FRA",132,"France",0.0518019394869178,0.044125629075527,0.061514440694511,0.0421100571833399,-0.0096452510323104,0.0426452984601795,0.0340564091370705,0.0390144508918198,0.0348843585085827,0.0156640963661179,0.0106334682763904,0.0247452591585358,0.0123323202263013,0.0150237743291548,0.016097473846008,0.0231038723635226,0.025296279179198,0.046340936409381,0.0425217144718122,0.0288199445963748,0.0104272027062553,0.0158668705255174,-0.00630650735384464,0.0233096507417905,0.0208480861522364,0.0140311000989879,0.0230942302726476,0.0352575668388457,0.0336415698590926,0.0384864690469922,0.0196429736465014,0.0112913466686742,0.0081980053707511,0.0279043871391007,0.0164955060200089,0.024198039841723,0.0239580493288809,0.00254619017672653,-0.0291539938646128,0.0193068666245342,0.0216900819365158,0.00312640016207588,0.00574665728225199,0.00951642579532574,0.0110677153919418,0.0108951457662805,0.0226555319027355,0.0177698493110867,0.014973251438402
"DEU",134,"Germany",0.0308462645306093,0.0421044627473446,0.0466686979345212,0.00886131203272633,-0.00870511396455953,0.0483068094834511,0.0329241511693095,0.0296412219596487,0.0406655113598244,0.0139899782745019,0.0052785114926337,-0.00395635285655516,0.0156018942975091,0.027838286559545,0.0230126001885971,0.0226156345776385,0.0139241148130278,0.0364016533199365,0.0382255987410201,0.0512158018191329,0.0498208065021029,0.0190480930302268,-0.00981651515700221,0.0236373455651364,0.0153234849938197,0.00802589548183619,0.0177629104383907,0.0199392850611417,0.0186966658275729,0.0287089246483667,0.016674967544235,-0.0019816792309264,-0.00702577067402821,0.0116822718646574,0.00729042821479098,0.0374541699868018,0.029330186403433,0.0095530307645344,-0.0586236970756975,0.0409489931613969,0.0385010784292348,0.00417629664965702,0.00436634048799611,0.0218548858043466,0.014809125277699,0.0220549434821695,0.0256870199529402,0.0126002692538325,0.00553910186322071
"ITA",136,"Italy",0.0180178166398051,0.0362401894381179,0.0688342630074352,0.0535419896270852,-0.0211230016185802,0.0688297548028061,0.0252826431809634,0.0318875544864827,0.0578835151339625,0.0337250089163987,0.00840686180460359,0.00412741459511956,0.0116241482326132,0.0317490830170417,0.0275965357377999,0.0281984293506685,0.0314207192898888,0.0410879886771642,0.0333224374235961,0.0203180361621609,0.015220935252545,0.00769974003062046,-0.00892188087992629,0.0212905959348912,0.0278775137264429,0.0125882015249381,0.0181366763120021,0.0179442791727524,0.0161264349062158,0.037170063906208,0.019325835535561,0.00253616396982004,0.00138534416031,0.0141355536570416,0.00814529457127833,0.0177479494418762,0.0147612437083371,-0.00966681169484396,-0.0542548604847184,0.0169878448488703,0.00704844769837365,-0.0302623715644295,-0.0185822731844141,-4.54720561240407e-05,0.00775290194790834,0.0128517258732774,0.0165411074295889,0.00939655197845646,0.00342131888922381
"LUX",137,"Luxembourg",0.0263228534621351,0.0638964648924052,0.0798519315731276,0.041261573973058,-0.0679723213827117,0.0250274735989464,0.0155757390179811,0.039941506588578,0.0231851525595257,0.00837361457979391,-0.00552470234292457,0.0112494103954202,0.0294527905419955,0.0600309890797917,0.02753448060046,0.0951640816989947,0.0387492727118204,0.0812414868126261,0.0934726963554589,0.0518325203884569,0.0829080789583525,0.018032896286611,0.0411481546132073,0.0374973564055328,0.0142204076277004,0.0137888449373218,0.0555265734477572,0.0586900866301718,0.0814047899345187,0.0791788746531203,0.0250046503604846,0.0374833172252753,0.0161614664697414,0.0354848058203601,0.0312316177313612,0.0504885462874132,0.0802385686263012,-0.0128783797008261,-0.0445645708900102,0.0475033071140345,0.0250753462269913,-0.00353144551332818,0.0358918658644409,0.0420703050995446,0.0421628596595482,0.0447305436649348,0.0178516002512765,0.0306341392103047,0.0227100799726614
"NLD",138,"Netherlands, The",0.0423962347349143,0.0247561696684464,0.0562316884279088,0.0416785390474335,0.00122938990859112,0.046765776564019,0.0190305247031635,0.0230400376072346,0.0200174981533241,0.0319927673191565,-0.00786697943632397,-0.012485127605057,0.020488203468485,0.0301573971265228,0.0254745441309261,0.0274885128794402,0.0191284157234648,0.0338333003559743,0.043253423775413,0.0409799696670543,0.0240977636671893,0.0169168905835804,0.0124976927255993,0.0291809613890361,0.0306840332448832,0.0343893547083436,0.0423797050062511,0.0455842116368537,0.049114379203262,0.0411001368227026,0.0230029760947144,0.00217033517822252,0.00155526847318654,0.0196550433576235,0.0203012422485553,0.0340244701368171,0.0370340848770478,0.0214710661173569,-0.0373579913096638,0.0133380426384644,0.0153928262223744,-0.0103570588622848,-0.00130256631007697,0.0141336147037876,0.019402248287129,0.0216804334459333,0.0286933514075152,0.0233349203145341,0.0166349616256021
