"ISO.Code","IMFcode","Country.Name","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"USA",111,"United States",0.318309070047751,-0.00403901580968405,0.41308036750497,-0.011572541479243,1.6011289643222,0.106849578818495,0.00473369381709447,0.0761365368496205,0.113423269662281,0.131657198832158,0.00289153905004635,0.393521669651558,5.77857861561171e-08,0.918733105782288,0,3,0,3,0,3
"GBR",112,"United Kingdom",0.490112755380796,-0.00177177350487526,0.249743963421918,-0.0644471483758407,0.967418396192299,0.110197472924159,0.00394885325276102,0.0807582877773978,0.123829200395323,0.0852838890564647,8.68406308374148e-06,0.653662143793934,0.0019848685818542,0.60274861219271,0,3,0,3,0,3
"AUT",122,"Austria",0.566895095793706,-0.00131616619039487,-0.119035258608169,0.40332874120139,0.629854281565864,0.122788208101756,0.00338269078499781,0.139526997473591,0.158609604989083,0.162132598462157,3.8960320867254e-06,0.697210656842075,0.393584866846161,0.0109935940343311,0.00010241009731593,3,0,0,2,3
"BEL",124,"Belgium",0.545715461904242,-0.00338739475149403,-0.090139176047286,0.252045110004551,0.767157426972292,0.0949318844172714,0.00285024608074975,0.122071794156661,0.146122445515405,0.116421378922408,9.00413144044876e-09,0.234653432588468,0.460264630373685,0.0845473412877209,4.4134251808714e-11,3,0,0,1,3
"DNK",128,"Denmark",0.540035084149059,-0.0049249736844874,0.211605340367833,-0.0191681515143748,0.950173597485467,0.15599127140956,0.00456427933474742,0.111644550754752,0.180253673827136,0.160270381551951,0.00053626269671736,0.280576370649881,0.0580462365696386,0.915312702426884,3.05590863725058e-09,3,0,1,0,3
"FRA",132,"France",0.665785785351622,-0.00349014967371577,0.160987838169681,-0.0216169357576385,0.518209584329741,0.097454188263511,0.0030274104152299,0.136400216753226,0.160712944390836,0.112335352631999,8.38662472801843e-12,0.24897201507793,0.237896476978774,0.893002071034459,3.96786039136288e-06,3,0,0,0,3
"DEU",134,"Germany",0.59715051448178,-0.00282407298712678,0.153693656454285,-0.254237100719515,0.899787441335139,0.0924505605083343,0.00276610922606068,0.0747375997458592,0.116069629106,0.0757838198766969,1.05304209796486e-10,0.307275769204609,0.039739780235279,0.0284963730429402,0,3,0,2,2,3
"ITA",136,"Italy",0.589217212102846,-0.000199510369393528,0.232764905903604,-0.0970197290545583,0.843263525407254,0.125446182649482,0.00435425090807782,0.111668162004421,0.171938001594732,0.108541956419147,2.64046582976185e-06,0.963453975447564,0.0371207141016916,0.572569314947317,7.99360577730113e-15,3,0,2,0,3
"LUX",137,"Luxembourg",0.619388348285444,0.0083507278069949,0.0521850722855976,0.255421547851833,0.852655623767177,0.169437817139861,0.00391411339316785,0.0808724436884582,0.156142898731938,0.0813349063609743,0.000256631560659804,0.0328844250018097,0.518748139977101,0.101877437583596,0,3,2,0,0,3
"NLD",138,"Netherlands, The",0.584979976121264,-0.00558146798409599,0.388559446727922,-0.0965992022816886,0.792409735084822,0.114471658633693,0.00369020905944664,0.101148505009428,0.140043606938381,0.120356384838112,3.21715197149075e-07,0.13040486776562,0.000122297225991996,0.490332893203538,4.58384441515136e-11,3,0,3,0,3
"NOR",142,"Norway",0.149815857266918,0.00874155939548099,0.393460814659502,-0.0740966623187843,0.705408807960609,0.0866113371293572,0.00298439010763498,0.0791893561291323,0.0872597399902031,0.0851538909678028,0.0836751640371225,0.00339951511618453,6.74354738938732e-07,0.395797486270989,2.22044604925031e-16,1,3,3,0,3
"SWE",144,"Sweden",0.37950074634069,0.00525262438743826,0.405549697935779,-0.343750014762642,0.959931439719659,0.11644831452734,0.00310189916661804,0.0834829335913747,0.119705084438855,0.0997042713709556,0.00111820257474915,0.0903874289894346,1.1865197258043e-06,0.0040834671545884,0,3,1,3,3,3
"CHE",146,"Switzerland",0.341222918361626,-0.00321135499029305,0.288560546310029,0.0287637571373062,1.00498665401651,0.098157744064164,0.00389212579040883,0.0821164796844037,0.125475281778681,0.0868629988264904,0.000508438248943754,0.40932036214919,0.000441347318292706,0.818683601584161,0,3,0,3,0,3
"CAN",156,"Canada",0.683923571401748,-0.00392662928736254,0.233584788553284,0.0606339324954314,0.633646270398296,0.131239328284187,0.00421052385239824,0.134593769879243,0.177221957210125,0.158317843070234,1.87552281927239e-07,0.351039445553312,0.0826558304320526,0.732248882049387,6.27116541678241e-05,3,0,1,0,3
"JPN",158,"Japan",0.0889112242533682,0.0126828340817671,0.303852256125252,-0.184389719895857,1.41447383408393,0.0701753703452072,0.00371518405882062,0.0443882153308595,0.069089840189008,0.0726847172215304,0.205160232260321,0.000640674617961023,7.629674669829e-12,0.00761137290017322,0,0,3,3,3,3
"FIN",172,"Finland",0.3242546052637,0.00426637768474571,0.477029431225447,-0.429921495745752,1.11370445450861,0.136306637040219,0.00408789618791962,0.0651255877081083,0.145763693837859,0.0897586249818293,0.0173662015459102,0.296642275369009,2.39364084109184e-13,0.00318348779736777,0,2,0,3,3,3
"GRC",174,"Greece",-0.191500229355018,0.0188107462857285,0.30929742562222,0.0645258814534789,1.15149060753837,0.120358045599584,0.00480023864317157,0.0434786441010688,0.114609152271468,0.0530957457284575,0.111589796485289,8.90239077304678e-05,1.12909681604378e-12,0.57342936598998,0,0,3,3,0,3
"ISL",176,"Iceland",0.930409022493154,-0.0144379948876054,0.0925837543621664,0.498199760602492,0.617032542751665,0.207950387080701,0.00699646570563589,0.0926421005847983,0.252870248030333,0.13059337707373,7.67024138803585e-06,0.0390544605947216,0.317615391354842,0.0488178103951478,2.30298939740692e-06,3,2,0,2,3
