"ISO.Code","IMFcode","Country.Name","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20"
"USA",111,"United States",0.333556813154862,0.00346659834785401,0.439270153806474,-0.198654354249736,1.40124869939661,0.080310934875864,0.00245863493000281,0.0514115221152091,0.0735055998910323,0.0966314474663846,3.27689538617282e-05,0.158548919056929,0,0.00688047791391999,0,3,0,3,3,3
"GBR",112,"United Kingdom",0.224256187895788,0.0063750609786463,0.311374687430095,-0.128173480912584,1.04599322581011,0.0815329679018281,0.00243676323685639,0.0719145671606783,0.0688815657114877,0.0818827435869954,0.00595049268999692,0.00889143531516012,1.49254300856327e-05,0.0627751667416496,0,3,3,3,1,3
"AUT",122,"Austria",0.585971991759233,0.000519860421644783,-0.181285198103163,0.359457653494157,0.634795252409691,0.0934772603857067,0.00257126597370277,0.118613601277903,0.127942933528661,0.122874466852211,3.64297703114858e-10,0.839775440301083,0.126421267332117,0.00496161315786581,2.38888870685017e-07,3,0,0,3,3
"BEL",124,"Belgium",0.310398336160223,0.00337706252959847,-0.0782128252902911,0.17134812263726,0.814739938352053,0.0630515316401775,0.0019291437250438,0.0986124850094524,0.0778917856127324,0.115531541042684,8.52575446907977e-07,0.0800234559733433,0.427700283626108,0.0278194726681187,1.76236802928997e-12,3,1,0,2,3
"DNK",128,"Denmark",0.580515569412077,-0.00127367519193867,0.295429918892917,-0.222883896735859,0.925386425625756,0.119202161780066,0.00329030290711204,0.0949180508322866,0.136917680720349,0.134532777338639,1.11593313900649e-06,0.698682416871309,0.00185526662679014,0.103552900190852,6.04782890434308e-12,3,0,3,0,3
"FRA",132,"France",0.603162257581329,0.000192000396567685,0.0628109930878389,0.0303677888687256,0.457032358078638,0.0851080101039011,0.00215887795613899,0.134424661551046,0.130927263841276,0.114435526480792,1.37023725699237e-12,0.929133352220826,0.64031533050929,0.816581535382036,6.50233101522346e-05,3,0,0,0,3
"DEU",134,"Germany",0.454430970330234,0.000321721511986507,0.0837402747284189,-0.126629465007129,0.861969186752339,0.0737417197656016,0.00198540351942954,0.0793042664448476,0.0939222819714655,0.0766921700509041,7.1619910002596e-10,0.871271687009316,0.290997197129996,0.177582272699648,0,3,0,0,0,3
"ITA",136,"Italy",0.557795656591169,0.000176346174506491,0.125568567027742,0.021453837198323,0.849109297573152,0.119298365770464,0.00301584990158804,0.0882963089782666,0.134648999189419,0.102279985878001,2.93044916754859e-06,0.953371767354833,0.154989379240169,0.873407644755366,0,3,0,0,0,3
"LUX",137,"Luxembourg",0.547844487927815,0.0122296782192243,0.0521935872439436,0.207784999957813,0.888144964536051,0.148263761622168,0.00273120546042929,0.0600102562284255,0.108429969900656,0.0735390244682973,0.00021982907406759,7.54308944483917e-06,0.384440075450422,0.0553261598926931,0,3,3,0,1,3
"NLD",138,"Netherlands, The",0.499893338604525,0.000141997720319938,0.371266397733431,-0.119944296020589,0.682031799797837,0.0875039524668019,0.0024721644661796,0.108816910485178,0.116081248055086,0.118834418403869,1.11126596813449e-08,0.954195797856035,0.000645248663838638,0.301473432010498,9.50430734114605e-09,3,0,3,0,3
"NOR",142,"Norway",0.133381217659679,0.00803059441082386,0.369583700402008,0.0190503426355574,0.696382706292847,0.0728942191096962,0.00242545906292253,0.0732332230880317,0.0646868112833962,0.0824601172619687,0.0672811323057032,0.000929769812704428,4.49583606343396e-07,0.768374957352207,0,1,3,3,0,3
"SWE",144,"Sweden",0.0846218584742986,0.00983422871560102,0.437268781957723,-0.284806988901727,1.12162417285728,0.149584687416727,0.00296891355387013,0.0748503159959626,0.113377072881849,0.109817002367424,0.57158955008257,0.000924992482730813,5.16057996335917e-09,0.0120037742037147,0,0,3,3,2,3
"CHE",146,"Switzerland",0.340575903499193,0.00161701533841947,0.366125462707986,-0.138652393870472,1.0169895282538,0.0772220712934272,0.00225206056420193,0.0683899548622031,0.0829810851806063,0.0768418844758346,1.03206505503994e-05,0.472747470640587,8.62701556858525e-08,0.0947431012718158,0,3,0,3,1,3
"CAN",156,"Canada",0.743714310015686,-0.00223832665151176,0.25612650571322,-0.0758392109938226,0.846081990642997,0.144018050884188,0.00481059297970763,0.102276541590425,0.170833343012076,0.134764319122385,2.4168198575758e-07,0.641722925196322,0.0122709676827581,0.657088263309109,3.42439188116828e-10,3,0,2,0,3
"JPN",158,"Japan",0.0788798309955724,0.00634236404085318,0.256040780478903,-0.0176680770475079,1.39628855013008,0.0507315116422105,0.00344477898771795,0.0447313473572995,0.0470526997376107,0.0718765808911523,0.119982078987044,0.0655991885984903,1.04064639128154e-08,0.707291991981814,0,0,1,3,0,3
